 EMILI Output File
 ------------------------------------
 Input Line List: zone-MYSO-emi.in
 Input Matched List: zone-MYSO-emi.match
 Results List: zone-MYSO-emi.out
 Short Results List: zone-MYSO-emi.dat
 Abundance Table: abun.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999978E-03
 ix 2:   0.987000048    
 ix 3:    1.00000005E-03
 ix 4:    1.00000005E-03
 ix 5:    1.00000005E-03

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    171.206421    
 irvcor 2:    160.233536    
 irvcor 3:    159.780563    
 irvcor 4:    160.551498    
 irvcor 5:    160.551498    

Observed Line:  4609.12  6.9E-04  S/N:     9.56 FWHM:  30.2
   4606.67 |    4607.030 [Fe III]   1746940929     38  4.1E-01 -23.7 3/0 5A
   4880.91 |    4881.454  Cr II     1612123385      7  1.5E-06 -33.4 3/0 9 
   4880.91 |    4881.530  Al II      873573408    262  4.9E-06 -38.1 2/0 * 
   4880.90 |    4881.610  C  I       402896911      6  1.9E-04 -43.4 1/0 7 
   4880.90 |    4881.614  O  III     539020331    263  5.6E-06 -44.0 5/0 9 
   4880.90 |    4881.718  Fe I      1745047616      8  5.1E-05 -50.0 6/0 9 
   4880.90 |    4881.790  N  III     471906335    262  7.2E-07 -54.8 7/0 * 
   4880.90 |    4881.819 [Mn II]    1678788610     39  5.2E-04 -56.3 2/0 8 
   4880.90 |    4881.900  O  V       541186147    261  1.3E-05 -61.6 3/0 9 
   4880.90 |    4882.143  Fe I      1745072197      8  4.8E-05 -76.2 */0 9 
   4880.91 |    4882.224  Cr II     1612127481      7  1.5E-06 -80.7 2/0 * 
   4880.91 | >  4883.424  O  I       537062465    264  4.4E-04-154.4 2/0 0<

Observed Line:  4925.27  4.2E-03  S/N:     5.17 FWHM:  72.4
   4922.65 |    4922.193$ Fe II     1746386176      7  1.2E-04  27.7 0/0 6D
+  4922.65 |    4922.466$ Fe II     1746402563      7  1.1E-04  11.1 0/0 4B
+  4922.65 |    4922.600  O  I       537136285      5  4.3E-04   2.9 0/0 3A
+  4922.64 |    4922.694  C  I       402850830    263  1.9E-04  -3.2 0/0 4B
+  4922.64 |    4922.900  C  I       402890769      6  1.9E-04 -15.8 1/0 6D
   4922.64 |    4923.046 [V  II]    1544597506     39  6.7E-05 -24.7 5/0 8 
   4922.65 |    4923.337  S  II     1075014751    263  2.6E-05 -42.0 1/0 8 
   4922.65 |    4923.846  Fe II     1746372865      8  1.2E-04 -73.0 3/0 * 
   4922.65 |    4923.927  Fe II     1745957924      8  2.3E-02 -77.9 2/0 7 
   4922.65 |    4924.110  S  II     1074831374    263  2.8E-05 -89.1 4/0 * 
   4922.64 |    4924.301  Fe I      1745535098      8  2.8E-05-101.1 6/0 * 
   4922.65 |    4924.470  N  I       469986320    262  6.1E-05-111.0 7/0 * 
   4922.65 |    4924.490  N  I       469985296    262  6.1E-05-112.2 9/0 * 
   4922.64 | >  4924.845 [Cr II]    1611700229     39  9.3E-04-134.3 4/0 0<

Observed Line:  4933.43  5.6E-04  S/N:     2.02 FWHM:  49.8
+  4930.80 |    4930.530 [Fe III]   1746935812     38  4.3E-01  16.7 6/2 0A 5270.400  14.4 5411.980  64.1
+  4930.80 |    4930.530 [Cr III]   1612726277     54  5.9E-03  16.7 5/0 5C
+  4930.80 |    4930.780* O  I       536976396      6  5.1E-04   1.5 0/0 4B
+  4930.79 |    4931.226 [O  III]    538972161     55  2.3E-02 -26.4 2/0 6D
   4930.80 |    4931.827* O  I       537125012      6  4.3E-04 -62.2 0/0 6D
   4930.80 |    4934.240 [Fe III]   1746975773     38  3.4E-03-208.9 5/0 * 
   4930.80 | >  4936.360 [Fe III]   1746934786     54  4.5E-01-337.7 5/1 0< 5151.920-312.8

Observed Line:  4961.49  4.6E-01  S/N:    33.22 FWHM:  53.7
   4958.84 |    4958.221 [Fe II]    1745904643     40  2.2E-01  37.6 4/0 8C
+  4958.85 |    4958.660  C  II      403842094      7  5.8E-04  11.4 3/0 7B
+  4958.84 |    4958.911 [O  III]    538972162     39  2.3E-02  -4.5 1/1 1A 5006.843  -7.3
   4958.85 |    4959.920  C  II      403841069      7  5.8E-04 -64.8 3/0 9D
   4958.85 | >  4961.600  N  I       470005779    262  6.1E-05-166.3 5/0 0<

Observed Line:  4989.00  2.3E-03  S/N:     8.79 FWHM:  66.6
   4986.34 |    4985.687 [Cr II]    1611699205     39  9.5E-04  39.1 4/0 7 
   4986.33 |    4985.940  O  V       541192297    262  1.3E-05  23.6 4/0 7 
+  4986.34 |    4986.038  Co II]    1813036061     23  1.4E-06  18.4 1/0 6D
+  4986.34 |    4986.138 [V  II]    1544596483     55  6.8E-05  12.0 8/0 6D
+  4986.34 |    4986.262$ Ni II     1880412279      7  3.5E-06   4.9 0/0 4A
+  4986.34 |    4986.300  S  I      1073970238      5  8.1E-06   2.2 1/0 5B
   4986.34 |    4986.715$ Ni II     1880411255      7  3.5E-06 -22.3 0/0 6D
   4986.34 |    4986.830  Fe II]    1746355453     22  1.9E-06 -29.2 4/0 8 
   4986.34 |    4986.905  Fe I      1745284194      8  3.4E-05 -34.2 */2 5B 5040.852   1.5 5041.849 -57.8
   4986.34 |    4986.914  Cr II     1611915393      7  6.2E-06 -34.3 6/0 9 
   4986.34 |    4986.956  Cr II     1611984057      7  3.7E-06 -36.8 5/0 9 
   4986.34 |    4987.235 [Co II]    1813011461     55  3.8E-04 -54.0 2/0 8 
   4986.34 |    4987.279$ Fe II     1746385157      7  1.2E-04 -56.2 0/0 6D
   4986.34 |    4987.300  C  II      403942550    261  5.8E-04 -57.5 0/0 6D
   4986.34 |    4987.520  N  I       469992469    262  6.1E-05 -70.7 3/0 9 
   4986.33 |    4987.526$ O  II      538173597      7  2.8E-06 -71.8 0/0 8 
   4986.34 |    4987.546  Fe II]    1746301162     23  2.9E-06 -72.3 */2 7  5017.132 -84.5 4932.651-112.4
   4986.33 |    4987.541$ O  II      538173598      7  2.8E-06 -72.7 0/0 8 
   4986.34 |    4987.780 [Co III]   1814052872     54  2.1E-04 -86.4 3/0 8 
   4986.34 |    4987.836$ Ni II     1880567987      7  3.1E-06 -89.7 0/0 8 
   4986.15 |    4987.732 [Ti II]    1477476357     39  1.2E-05 -94.9 5/0 9 
   4986.33 | >  4988.560 [Fe VII]   1751127041     54  2.9E-03-134.0 5/0 0<

Observed Line:  5009.40  1.2E+00  S/N:    79.08 FWHM:  44.2
+  5006.73 |    5006.624 [Fe II]    1745904644     40  2.2E-01   6.1 5/0 4B
+  5006.72 |    5006.843 [O  III]    538972163     39  2.3E-02  -7.3 1/1 1A 4958.911  -4.5
   5006.73 | >  5009.065$ Fe II     1746365695      7  1.2E-04-139.6 0/0 0<

Observed Line:  5018.39  1.1E-02  S/N:    12.75 FWHM:  52.5
   5015.72 |    5015.057 [Ni III]   1881188376     55  1.1E-05  39.6 2/0 9 
   5015.71 |    5015.118$ O  II      538175664      7  2.8E-06  35.2 0/0 7 
   5015.72 |    5015.173  Cr II     1612228895      7  1.3E-06  32.6 6/0 9 
   5015.72 |    5015.183$ Ne I       671218701      7  6.0E-05  32.0 0/0 5 
   5015.71 |    5015.239  Fe III]   1747047518     23  9.6E-07  27.9 2/0 8 
   5015.71 |    5015.315  Fe I      1745211479      8  3.6E-05  23.7 2/0 7 
   5015.71 |    5015.339  O  II      537967646    263  2.8E-06  22.0 3/0 8 
   5015.71 |    5015.360  N  III     471955529      6  7.2E-07  20.7 2/0 8 
+  5015.71 |    5015.387  O  II      538169486    263  2.8E-06  19.1 1/0 6 
+  5015.72 |    5015.470$ Ar I      1208320011      6  1.9E-06  14.9 0/0 5 
+  5015.72 |    5015.521  Fe II     1746256087      7  2.2E-04  11.8 9/0 5 
+  5015.71 |    5015.626$ O  II      538160251      7  2.8E-06   4.8 0/0 4C
+  5015.72 |    5015.678  He I       134235139    264  1.0E-04   2.5 0/0 2A
+  5015.72 |    5015.755$ Fe II     1746363647      7  1.2E-04  -2.2 0/0 2A
+  5015.72 |    5015.863$ Ni II     1880409218      7  3.5E-06  -8.6 0/0 4C
+  5015.72 |    5016.019  Ni II     1880722645      7  3.0E-06 -18.0 1/0 6 
   5015.71 |    5016.032$ Fe I      1745602684      8  2.7E-05 -19.2 0/0 5 
   5015.72 |    5016.082  C  II      403833892    263  5.8E-04 -21.7 3/0 6 
   5015.72 |    5016.230$ Ar I      1208318987      6  1.9E-06 -30.6 0/0 7 
   5015.72 |    5016.233  C  II      403833893    263  5.8E-04 -30.8 3/0 7 
   5015.53 |    5016.162  Ti I      1476481032      8  7.0E-07 -37.9 4/0 9 
   5015.72 |    5016.412 [Ni III]   1881168910     55  9.3E-05 -41.5 9/0 8 
   5015.71 |    5016.477  Fe I      1745276002      8  3.4E-05 -45.8 */0 9 
   5015.71 |    5016.590  C  IV      405821456    262  3.8E-06 -52.9 1/0 9 
   5015.72 |    5016.616  V  II     1544738913      7  8.5E-07 -53.7 0/0 8 
   5015.71 |    5016.652  Fe I]     1745103952     24  7.7E-07 -56.3 1/0 9 
   5015.72 |    5016.978  Co II     1813061672      7  9.7E-06 -75.3 6/0 9 
   5015.72 |    5017.132  Fe II]    1746301163     23  2.9E-06 -84.5 */1 9  4987.546 -72.3
   5015.72 |    5017.253$ Ar I      1208220682      7  1.9E-06 -91.7 0/0 8 
   5015.72 | >  5018.440  Fe II     1745956900      8  2.4E-02-162.7 2/0 0<

Observed Line:  5043.57  7.3E-03  S/N:     2.29 FWHM:  47.5
+  5040.88 |    5040.708  C  II      403769372    263  5.8E-04  10.5 2/0 5A
+  5040.88 |    5040.710  C  I       402868239    262  1.9E-04  10.0 2/0 6B
+  5040.88 |    5041.072  Fe I      1744901128      8  2.5E-04 -11.5 */0 6B
   5040.88 |    5041.776  C  II      403855486    263  5.8E-04 -53.0 4/0 8 
   5040.88 |    5043.520 [Fe II]    1745913865     40  1.8E-01-157.1 9/0 7D
   5040.88 |    5043.565  C  II      403854460    263  5.8E-04-159.4 7/0 * 
   5040.88 |    5043.761  C  I       402864143    263  1.9E-04-171.5 6/0 * 
   5040.88 | >  5044.356  C  II      403855487    263  5.8E-04-206.4 2/0 0<

Observed Line:  5050.34  1.7E-03  S/N:    28.76 FWHM:  49.5
   5047.65 |    5047.117  C  II      403854462    263  5.8E-04  31.8 5/0 8 
